,,,,,,,,,
T,cp,h,s,PR,,,,,
2120.,1.259,2100.1,8.8759,2669.2,,,,,
2125.,1.259,2106.4,8.8789,2696.6,,,,,
2130.,1.259,2112.7,8.8819,2724.8,,,,,
2135.,1.260,2119.0,8.8848,2753.0,,,,,
2140.,1.260,2125.3,8.8878,2781.4,,,,,
2145.,1.260,2131.6,8.8907,2810.1,,,,,
2150.,1.261,2137.9,8.8936,2838.9,,,,,
2155.,1.261,2144.2,8.8966,2868.0,,,,,
2160.,1.261,2150.5,8.8995,2897.4,,,,,
2165.,1.261,2156.8,8.9024,2927.0,,,,,
2170.,1.262,2163.1,8.9053,2956.8,,,,,
2175.,1.262,2169.4,8.9082,2986.8,,,,,
2180.,1.262,2175.8,8.9111,3017.1,,,,,
2185.,1.262,2182.1,8.9140,3047.7,,,,,
2190.,1.263,2188.4,8.9169,3078.5,,,,,
2195.,1.263,2194.7,8.9198,3109.5,,,,,
2200.,1.263,2201.0,8.9226,3140.8,,,,,
2205.,1.264,2207.3,8.9255,3172.3,,,,,
2210.,1.264,2213.6,8.9284,3204.1,,,,,
2215.,1.264,2220.0,8.9312,3236.1,,,,,
2220.,1.264,2226.3,8.9341,3268.4,,,,,
2225.,1.265,2232.6,8.9369,3301.0,,,,,
2230.,1.265,2238.9,8.9398,3333.8,,,,,
2235.,1.265,2245.3,8.9426,3366.8,,,,,
2240.,1.265,2251.6,8.9454,3400.2,,,,,
2245.,1.266,2257.9,8.9482,3433.7,,,,,
2250.,1.266,2264.2,8.9511,3467.6,,,,,
2255.,1.266,2270.6,8.9539,3501.7,,,,,
2260.,1.266,2276.9,8.9567,3536.1,,,,,
2265.,1.267,2283.2,8.9595,3570.7,,,,,
2270.,1.267,2289.6,8.9623,3605.6,,,,,
2275.,1.267,2295.9,8.9651,3640.8,,,,,
2280.,1.267,2302.2,8.9678,3676.2,,,,,
2285.,1.268,2308.6,8.9706,3712.0,,,,,
2290.,1.268,2314.9,8.9734,3748.0,,,,,
2295.,1.268,2321.3,8.9761,3784.2,,,,,
2300.,1.268,2327.6,8.9789,3820.8,,,,,
2305.,1.268,2333.9,8.9817,3857.6,,,,,
2310.,1.269,2340.3,8.9844,3894.7,,,,,
2315.,1.269,2346.6,8.9872,3932.1,,,,,
2320.,1.269,2353.0,8.9899,3969.8,,,,,
2325.,1.269,2359.3,8.9926,4008.,,,,,
2330.,1.270,2365.7,8.9954,4046.,,,,,
2335.,1.270,2372.0,8.9981,4085.,,,,,
2340.,1.270,2378.4,9.0008,4123.,,,,,
2345.,1.270,2384.7,9.0035,4163.,,,,,
2350.,1.271,2391.1,9.0062,4202.,,,,,
2355.,1.271,2397.4,9.0089,4242.,,,,,
2360.,1.271,2403.8,9.0116,4282.,,,,,
2365.,1.271,2410.1,9.0143,4322.,,,,,
2370.,1.271,2416.5,9.0170,4363.,,,,,
2375.,1.272,2422.8,9.0197,4403.,,,,,
2380.,1.272,2429.2,9.0223,4445.,,,,,
2385.,1.272,2435.6,9.0250,4486.,,,,,
2390.,1.272,2441.9,9.0277,4528.,,,,,
2395.,1.273,2448.3,9.0303,4570.,,,,,
2400.,1.273,2454.6,9.0330,4613.,,,,,
2405.,1.273,2461.0,9.0356,4655.,,,,,
2410.,1.273,2467.4,9.0383,4698.,,,,,
2415.,1.273,2473.7,9.0409,4742.,,,,,
2420.,1.274,2480.1,9.0435,4786.,,,,,
2425.,1.274,2486.5,9.0462,4830.,,,,,
2430.,1.274,2492.9,9.0488,4874.,,,,,
2435.,1.274,2499.2,9.0514,4919.,,,,,
2440.,1.274,2505.6,9.0540,4964.,,,,,
2445.,1.275,2512.0,9.0566,5009.,,,,,
2450.,1.275,2518.3,9.0592,5055.,,,,,
2455.,1.275,2524.7,9.0618,5101.,,,,,
2460.,1.275,2531.1,9.0644,5147.,,,,,
2465.,1.276,2537.5,9.0670,5193.,,,,,
2470.,1.276,2543.8,9.0696,5240.,,,,,
2475.,1.276,2550.2,9.0722,5288.,,,,,
